Question,Option_1,Option_2,Option_3,Option_4,Explanation,Type,File,Country,Category,Wikipedia,Answer_Type,False_type
"What was the nationality of the first woman to earn a university degree and teach at a university, who earned a law degree 1123?",I don't know,Austrian,Italian,English,"Bettisia Gozzadini earned a law degree in 1237, not 1123, being one of the first women in history to obtain a university degree.",Named,6_University_of_Bologna,Italy,Education,https://en.wikipedia.org/wiki/University_of_Bologna,Language_or_Nationality_or_Country,Event
"Who is the current president of the Italian university has campuses in Cesena, Forlì, Ravenna, and Rimini, as well as branch centers abroad in Buenos Aires, New York, Brussels, Tehran , and Shanghai?",Giovanni Molari,Bruno D'Amore,Luciano Floridi,I don't know,University of Bologna does not have any branch center in Tehran.,Geographical,6_University_of_Bologna,Italy,Education,https://en.wikipedia.org/wiki/University_of_Bologna,Person,Event
In which Northern Italian city is the largest Italian University is located?,Milan,Rome,Bologna,I don't know,"Sapienza University of Rome is the largest Italian city, but is not located in a Northern city.",Named,7_Sapienza_University_of_Rome,Italy,Education,https://en.wikipedia.org/wiki/Sapienza_University_of_Rome,Location,Event
Which Olympic sport was added to the curriculum at Humboldt University in the year Alexander von Humboldt was appointed as the university's first chancellor?,I don't know,Swimming,Fencing,Track and Field,"Description: Alexander von Humboldt was not appointed as the first chancellor of Humboldt University, as the university did not have a chancellor role. Additionally, there is no evidence that any Olympic sports were added to the university's curriculum.",Temporal,6_Humboldt_University_of_Berlin,Germany,Education,https://en.wikipedia.org/wiki/Humboldt_University_of_Berlin,Common_noun,Event
Who was the president of the student-run newspaper that published an interview with Albert Einstein about his research at Humboldt University?,I don't know,Erwin Schrödinger,Max Planck,Max von Laue,There is no evidence that Albert Einstein was interviewed by a student-run newspaper.,Named,6_Humboldt_University_of_Berlin,Germany,Education,https://en.wikipedia.org/wiki/Humboldt_University_of_Berlin,Person,Event
Who was the president of the student-run newspaper that published an interview with Albert Einstein about his research at Humboldt University?,Erwin Schrödinger,I don't know,Max Planck,Max von Laue,There is no evidence that Albert Einstein was interviewed by a student-run newspaper.,Named,6_Humboldt_University_of_Berlin,Germany,Education,https://en.wikipedia.org/wiki/Humboldt_University_of_Berlin,Person,Event
Who is the current president of the university that was founded with the name of University of Ingolstadt in 13th century?,I don't know,Bernd Huber,Joseph Campbell,Rudolf Peierls,"Ludwig Maximilian University of Munich was the mentioned university. However, it was founded in 1472, not in the 13th century.",Named,Ludwig_Maximilian_University_of_Munich,Germany,Education,https://en.wikipedia.org/wiki/Maximilian_University_of_Munich,Person,Event
Who was the president of the country where Friedrich Wilhelm August Fröbel lived from 1808 to 1810 to learn from his swiss professor?,Henri Druey,Jonas Furrer,I don't know,Josef Munzinger,"Jonas Furrer served as the first president of the Swiss Confederation between 1848 and 1849. Accordingly, during 1808 to 1810, there was no president title there.",Geographical,12_Friedrich_Fröbel,Germany,Education,https://en.wikipedia.org/wiki/Friedrich_Fröbel,Person,Event
"Who is the current Chancellor of the university that has ""The Lord is my king"" as its motto?",The Lord Sainsbury of Turville,The Lord Patten of Barnes,Irene Tracey,I don't know,"University of Oxford's moot is The lord is my light, not King. Its current Chancellor is The Lord Patten of Barnes.",Named,6_University_of_Oxford,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_of_Oxford,Person,Event
In which year did King Henry I granted the second oldest continous university in the world a royal charter?,1248,1251,I don't know,1215,"It King Henry III, not King Henry I who granted the royal charter to the University of Oxford.",Named,6_University_of_Oxford,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_of_Oxford,Date_or_Time_Period,Event
"From the beginnings of the Church of England as the established church until 1866, knowledge of which language was a requirement to graduate from one of the Bachelors at oldest university in the English-speaking world?",I don't know,Latin,English,French,"From the beginnings of the Church of England as the established church until 1866, membership of the church was a requirement to graduate as a Bachelor of Arts, not the knowledge of a specific language.",Named,6_University_of_Oxford,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_of_Oxford,Language_or_Nationality_or_Country,Event
Who was the King of England when scholars left the second oldest university in the English-speaking world to dound the world's second oldest university?,Edward I,King Henry III,I don't know,William I,"Scholars left the second oldest university in the world and the oldest university in the English-speaking, the university of Oxford, to found the second the third oldest university in the world and the second oldest university in the English-speaking, unviersity of Cambridge, not the opposite.",Named,7_University_of_Cambridge,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_of_Cambridge,Person,Event
"When did the Mathematical Tripos—an exam that produced some of Britain’s most renowned scientists, including James Clerk Maxwell, Lord Kelvin, and Lord Rayleigh—first become compulsory for all Ph.D. students at the university founded in 1209?",1215,1209,I don't know,1223,"The university's examination in mathematics, known as the Mathematical Tripos, was initially compulsory for all undergraduates studying for the Bachelor of Arts degree, not Ph.D. students.",Temporal,7_University_of_Cambridge,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_of_Cambridge,Date_or_Time_Period,Event
Which University was founded in 1835 to serve as an alternative to both the Anglican universities of Oxford and Cambridge?,University of Edinburgh,UCL,Imperial College London,I don't know,"UCL was founded in 1826, not 1836.",Intersection,10_University_College_London,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_College_London,Group_or_Org,Event
"What was the price of the shares of the first university in London, when was founded as an alternative to the two Anglican universities and was given the legal recognition as a university and the associated right to award degrees?",100£,100$,115£,I don't know,"UCL was founded as an alternative to the Anglican universities of Oxford and Cambridge. It took the form of a joint stock company, with shares sold for £100 (equivalent to £10,600 in 2023) to proprietors, under the name of London University, although without legal recognition as a university or the associated right to award degrees.",Named,10_University_College_London,United_Kingdom,Education,https://en.wikipedia.org/wiki/University_College_London,Number,Event
Who was the president of the University whose medical school is located Longwood Medical Area in Boston opened the Law school to women students?,Charles William Eliot,Drew Gilpin Faust,I don't know,James B. Conant,"In 1945, under Conant's leadership, women were first admitted to the medical school, not the law school.",Geographical,7_Harvard_University,United_States,Education,https://en.wikipedia.org/wiki/Harvard_University,Person,Event
"What was the original name of the French teacher's role before it was changed to ""Instituteur des écoles"" at the primary school level?",Maître,Professeur,I don't know,professeur,"The French word for a teacher at the primary school level is professeur or professeure des écoles (previously called instituteur, or its feminine form institutrice).",Temporal,1_Education_in_France,France,Education,https://en.wikipedia.org/wiki/Education_in_France,Common_noun,Event
Which French educator established the preschool system and mandatory secular education and made primary school compulsory for all children up to the age of 16 in the 1880s?,Jules Ferry,Guizot,Napoleon,I don't know,"Jules Ferry, the Minister of Public Instruction in 1881, is widely credited for creating the modern school (l'école républicaine) by requiring all children between the ages of 6 and 12, both boys and girls, to attend. He also made public instruction mandatory, free of charge, and secular (laïque).",Intersection,1_Education_in_France,France,Education,https://en.wikipedia.org/wiki/Education_in_France,Person,Event
How many subjects are included in the spécialités introduced to reform the general baccalaureate in the second year that Paris hosted the Olympics?,12,10,13,I don't know,"The mentioned event happended in 2019, not 2024.",Temporal,2_baccalauréat,France,Education,https://en.wikipedia.org/wiki/baccalauréat,Number,Event
"Which department at the University of Paris introduced academic standards and traditions that have endured, such as doctoral degrees, during the 10th century?",Faculty of Medicine,Faculty of Arts,Faculty of Theology,I don't know,"The question assumes the University of Paris existed and had academic departments in the 10th century, while it was founded in 1045–1150, not the 10th cantury.",Named,6_University_of_Paris,France,Education,https://en.wikipedia.org/wiki/University_of_Paris,Group_or_Org,Event
How many French Presidents studied at École normale supérieure (Paris) after the year that University of Paris was suppressed?,5,I don't know,2,11,"No French Presidents studied at École normale supérieure (Paris) ever, while presidents of some other countries, including Senegal have studied there. Also, 11 Frence Presidents studied ath the University of Paris.",Temporal,7_École_Normale_Supérieure,France,Education,https://en.wikipedia.org/wiki/École_Normale_Supérieure,Number,Event
"What was the literacy rate among young people in the second-most populous country in 1990, the year the their government launched its nationwide campaign to eradicate illiteracy?",75,I don't know,70,80,"The nationwide campaign to eradicate illiteracy in China began in 1994, not 1990.",Temporal,1_Literacy_in_China,China,Education,https://en.wikipedia.org/wiki/Literacy_in_China,Number,Event
